Seq,Name,m_Name,RAJ2000,DEJ2000,Sp,Mass,e_Mass,Rad,e_Rad,logg,e_logg,Teff,e_Teff,Remark,SimbadName
412," 2MASS J19071662+4639532",s,286.81924999999995,46.66478055555555,"M0V",0.523,0.006,0.525,0.052,4.717,0.086,3700,,"***"," 2MASS J19071662+4639532"
449," V1143 Cyg",p,294.6715833333333,54.97379444444444,"F5V",1.388,0.016,1.347,0.023,4.322,0.016,6460,100,"*  "," V1143 Cyg"
450," V1143 Cyg",s,294.6715833333333,54.97379444444444,"F5V",1.344,0.013,1.324,0.023,4.323,0.016,6400,100,"*  "," V1143 Cyg"
397," HP Dra",p,283.7228333333333,51.308274999999995,"F9V",1.056,0.005,1.34,0.012,4.208,0.008,6000,150,"*  "," HP Dra"
398," HP Dra",s,283.7228333333333,51.308274999999995,"F9V",1.024,0.007,1.028,0.01,4.425,0.009,5895,150,"*  "," HP Dra"
515," V1061 Cyg",p,316.83549999999997,52.0495611111111,"F9V",1.281,0.015,1.616,0.017,4.129,0.01,6180,100,"*  "," V1061 Cyg"
516," V1061 Cyg",s,316.83549999999997,52.0495611111111,"G8V",0.931,0.007,0.974,0.02,4.43,0.018,5300,150,"*  "," V1061 Cyg"
507," V379 Cep",p,310.80574999999993,57.11399722222222," ",10.873,0.237,7.986,0.121,3.67,0.016,22025,428,"*  "," V379 Cep"
508," V379 Cep",s,310.80574999999993,57.11399722222222," ",6.233,0.133,3.07,0.04,4.259,0.015,20206,374,"*  "," V379 Cep"
533," V497 Cep",p,328.36062499999997,62.58698888888888,"B3V",6.473,0.432,3.713,0.03,4.11,0.03,19500,400,"***"," V497 Cep"
534," V497 Cep",s,328.36062499999997,62.58698888888888,"B5V",5.0,0.371,2.938,0.03,4.201,0.033,17756,405,"***"," V497 Cep"
543," WX Cep",p,337.81575,63.52265277777777,"A5V",2.324,0.046,3.997,0.03,3.601,0.011,8150,225,"*  "," WX Cep"
544," WX Cep",s,337.81575,63.52265277777777,"A2V",2.533,0.049,2.708,0.025,3.977,0.012,8872,250,"*  "," WX Cep"
555," NY Cep",p,344.6658333333333,63.077147222222216,"B0.5V",13.152,1.012,6.843,0.704,3.887,0.095,28500,1000,"***"," NY Cep"
556," NY Cep",s,344.6658333333333,63.077147222222216,"B2V",9.323,1.036,5.434,0.503,3.938,0.094,23100,1000,"***"," NY Cep"
559," CW Cep",p,346.00924999999995,63.39687777777777,"B0.5V",11.797,0.14,5.524,0.121,4.026,0.02,28300,1000,"*  "," CW Cep"
560," CW Cep",s,346.00924999999995,63.39687777777777,"B0.5V",11.067,0.14,5.03,0.121,4.079,0.022,27700,1000,"*  "," CW Cep"
549," AH Cep",p,341.9705833333333,65.06216666666666,"B0.5V",15.565,0.202,6.385,0.11,4.02,0.016,29900,1000,"*  "," AH Cep"
550," AH Cep",s,341.9705833333333,65.06216666666666,"B0.5V",13.714,0.202,5.864,0.13,4.039,0.02,28600,1000,"*  "," AH Cep"
529," V375 Cep",p,326.2280833333333,65.73202777777777," ",1.288,0.017,1.623,0.006,4.128,0.007,6230,50,"*  "," V375 Cep"
530," V375 Cep",s,326.2280833333333,65.73202777777777," ",0.871,0.008,0.897,0.003,4.473,0.005,5151,50,"*  "," V375 Cep"
527," NGC 7142 V2",p,326.1234166666666,65.81219444444443," ",1.377,0.009,1.616,0.005,4.16,0.004,6238,52,"*  "," [SSS2011b] V2"
528," NGC 7142 V2",s,326.1234166666666,65.81219444444443," ",1.377,0.009,1.613,0.005,4.162,0.004,6276,63,"*  "," [SSS2011b] V2"
523," EK Cep",p,325.33962499999996,69.69280833333332,"A2V",2.024,0.02,1.579,0.015,4.348,0.009,9000,200,"*  "," EK Cep"
524," EK Cep",s,325.33962499999996,69.69280833333332,"G5Vp",1.122,0.01,1.315,0.015,4.25,0.011,5700,190,"*  "," EK Cep"
531," VZ Cep",p,327.54641666666663,71.44397222222221,"F3V",1.376,0.027,1.622,0.019,4.157,0.013,6700,,"*  "," VZ Cep"
532," VZ Cep",s,327.54641666666663,71.44397222222221,"G4V",1.073,0.023,0.934,0.025,4.528,0.025,5630,30,"*  "," VZ Cep"
427," UZ Dra",p,291.47937499999995,68.93531944444443,"F7V",1.345,0.02,1.311,0.03,4.332,0.021,6210,110,"*  "," UZ Dra"
428," UZ Dra",s,291.47937499999995,68.93531944444443,"G0V",1.236,0.02,1.15,0.02,4.409,0.017,5985,110,"*  "," UZ Dra"
389," BF Dra",p,282.7472916666666,69.88263333333332,"F6V",1.413,0.003,2.999,0.017,3.635,0.005,6360,150,"2  "," BF Dra"
390," BF Dra",s,282.7472916666666,69.88263333333332,"F6V",1.374,0.003,2.763,0.017,3.694,0.005,6400,150,"2  "," BF Dra"
517," EI Cep",p,322.1175416666666,76.40349722222221,"F3IV",1.772,0.007,2.898,0.048,3.763,0.014,6750,100,"*  "," EI Cep"
518," EI Cep",s,322.1175416666666,76.40349722222221,"F1V",1.68,0.006,2.33,0.044,3.929,0.016,6950,100,"*  "," EI Cep"
469," BS Dra",p,299.119875,73.61597777777777,"F5V",1.36,0.083,1.442,0.022,4.254,0.03,6618,153,"***"," BS Dra"
470," BS Dra",s,299.119875,73.61597777777777,"F5V",1.358,0.098,1.423,0.072,4.265,0.054,6626,153,"***"," BS Dra"
479," TYC 4589-2999-1",p,303.7509583333333,76.9050861111111,"G1.5V",1.815,0.101,2.011,0.04,4.09,0.03,5830,40,"** "," TYC 4589-2999-1"
480," TYC 4589-2999-1",s,303.7509583333333,76.9050861111111,"K4V",0.838,0.105,0.846,0.02,4.507,0.058,4616,116,"***"," TYC 4589-2999-1"
583," AL Scl",p,358.8190833333333,-31.921466666666664,"B6V",3.617,0.11,3.241,0.05,3.975,0.019,13550,350,"** "," AL Scl"
584," AL Scl",s,358.8190833333333,-31.921466666666664,"B9V",1.703,0.04,1.401,0.02,4.377,0.016,10300,360,"*  "," AL Scl"
573," BQ Aqr",p,354.0372083333333,-16.468963888888887," ",1.49,0.04,2.072,0.14,3.979,0.06,6390,230,"***"," BQ Aqr"
574," BQ Aqr",s,354.0372083333333,-16.468963888888887,"K0III",1.588,0.21,6.53,0.28,3.009,0.068,4490,230,"2  "," BQ Aqr"
33," 2MASS J01542930+0053266",p,28.622124999999997,0.8907222222222221,"M0V",0.515,0.023,0.601,0.078,4.592,0.114,3800,,"2  "," 2MASS J01542930+0053266"
34," 2MASS J01542930+0053266",s,28.622124999999997,0.8907222222222221,"M3V",0.548,0.025,0.574,0.087,4.659,0.133,3600,,"1  "," 2MASS J01542930+0053266"
31," UV Psc",p,19.229666666666663,6.811699999999999,"G5V",0.983,0.009,1.117,0.02,4.335,0.016,5780,100,"*  "," UV Psc"
32," UV Psc",s,19.229666666666663,6.811699999999999,"K3V",0.764,0.005,0.835,0.03,4.478,0.031,4750,80,"** "," UV Psc"
541," BW Aqr",p,335.81637499999994,-15.332283333333331,"F7?",1.479,0.02,2.057,0.04,3.982,0.018,6350,100,"*  "," BW Aqr"
542," BW Aqr",s,335.81637499999994,-15.332283333333331,"F8IV?",1.377,0.02,1.788,0.04,4.073,0.02,6450,100,"*  "," BW Aqr"
545," LL Aqr",p,338.67562499999997,-3.5994916666666663,"F9V",1.195,0.001,1.321,0.006,4.274,0.004,6080,45,"*  "," LL Aqr"
546," LL Aqr",s,338.67562499999997,-3.5994916666666663,"G3V",1.034,0.001,1.002,0.005,4.451,0.004,5703,50,"*  "," LL Aqr"
557," EF Aqr",p,345.3295416666666,-6.437597222222221,"G0V",1.244,0.008,1.338,0.012,4.28,0.008,6150,65,"*  "," EF Aqr"
558," EF Aqr",s,345.3295416666666,-6.437597222222221,"GV",0.946,0.006,0.956,0.012,4.453,0.011,5185,110,"*  "," EF Aqr"
567," MG1-2056316",p,348.65899999999993,3.663702777777777,"M2V",0.469,0.002,0.441,0.002,4.821,0.004,3460,180,"*  "," MOTESS-GNAT 2056316"
568," MG1-2056316",s,348.65899999999993,3.663702777777777,"M3V",0.383,0.001,0.374,0.002,4.876,0.005,3320,180,"*  "," MOTESS-GNAT 2056316"
5," DV Psc",p,3.288333333333333,5.595294444444444,"K4V",0.677,0.019,0.685,0.03,4.598,0.04,4450,8,"** "," DV Psc"
6," DV Psc",s,3.288333333333333,5.595294444444444,"M1V",0.475,0.01,0.514,0.02,4.693,0.035,3614,8,"** "," DV Psc"
569," NSVS 11868841",p,349.4898333333333,19.284127777777776,"G9",0.886,0.035,1.01,0.03,4.377,0.031,5250,,"** "," NSVS 11868841"
570," NSVS 11868841",s,349.4898333333333,19.284127777777776,"G9",0.616,0.024,0.96,0.02,4.263,0.025,5055,4,"2  "," NSVS 11868841"
1," V421 Peg",p,1.758333333333333,22.844452777777775,"F1V",1.594,0.029,1.584,0.028,4.241,0.017,7250,80,"*  "," V421 Peg"
2," V421 Peg",s,1.758333333333333,22.844452777777775,"F2V",1.356,0.029,1.328,0.029,4.324,0.021,6980,120,"*  "," V421 Peg"
579," BK Peg",p,356.78524999999996,26.566644444444442,"F8",1.414,0.007,1.985,0.008,3.993,0.004,6265,85,"*  "," BK Peg"
580," BK Peg",s,356.78524999999996,26.566644444444442,"F8",1.257,0.005,1.472,0.017,4.202,0.01,6320,30,"*  "," BK Peg"
129," HATS551-027",p,86.24133333333332,-24.935999999999996,"M4/5.5V",0.244,0.003,0.261,0.009,4.992,0.03,3190,100,"** "," LP 837-20"
130," HATS551-027",s,86.24133333333332,-24.935999999999996,"M4/5.5V",0.179,0.002,0.218,0.011,5.014,0.044,2990,110,"** "," LP 837-20"
165," SW CMa",p,107.06349999999999,-22.440349999999995,"A4",2.24,0.014,3.015,0.02,3.83,0.006,8200,150,"*  "," SW CMa"
166," SW CMa",s,107.06349999999999,-22.440349999999995,"A5",2.105,0.018,2.496,0.042,3.967,0.015,8100,150,"*  "," SW CMa"
167," HW CMa",p,107.09108333333332,-22.40829722222222,"A6",1.719,0.011,1.649,0.018,4.239,0.01,7560,150,"*  "," HW CMa"
168," HW CMa",s,107.09108333333332,-22.40829722222222,"A6",1.779,0.012,1.668,0.021,4.244,0.011,7700,150,"*  "," HW CMa"
169," GZ CMa",p,109.08004166666665,-16.716694444444443,"A3Vm",2.201,0.025,2.49,0.03,3.989,0.012,8810,350,"*  "," GZ CMa"
170," GZ CMa",s,109.08004166666665,-16.716694444444443,"A4 V",2.001,0.025,2.13,0.04,4.083,0.017,8531,340,"*  "," GZ CMa"
139," V404 CMa",p,93.98091666666666,-18.747649999999997,"K",0.75,0.005,0.721,0.014,4.598,0.017,4200,100,"*  "," V404 CMa"
